date,amount,category,description
2023-06-01,15981.58,Rent,Expense for Rent on 01-Jun
2023-06-02,663.17,Entertainment,Expense for Entertainment on 02-Jun
2023-06-02,462.5,Food,Expense for Food on 02-Jun
2023-06-02,1265.11,Food,Expense for Food on 02-Jun
2023-06-03,833.51,Food,Expense for Food on 03-Jun
2023-06-03,977.93,Food,Expense for Food on 03-Jun
2023-06-03,806.39,Entertainment,Expense for Entertainment on 03-Jun
2023-06-04,189.4,Entertainment,Expense for Entertainment on 04-Jun
2023-06-04,395.27,Entertainment,Expense for Entertainment on 04-Jun
2023-06-04,434.27,Healthcare,Expense for Healthcare on 04-Jun
2023-06-05,586.61,Healthcare,Expense for Healthcare on 05-Jun
2023-06-05,584.67,Entertainment,Expense for Entertainment on 05-Jun
2023-06-05,497.03,Education,Expense for Education on 05-Jun
2023-06-06,497.61,Healthcare,Expense for Healthcare on 06-Jun
2023-06-06,815.33,Utilities,Expense for Utilities on 06-Jun
2023-06-06,984.76,Food,Expense for Food on 06-Jun
2023-06-07,398.73,Transport,Expense for Transport on 07-Jun
2023-06-07,715.85,Transport,Expense for Transport on 07-Jun
2023-06-07,373.0,Healthcare,Expense for Healthcare on 07-Jun
2023-06-08,476.0,Healthcare,Expense for Healthcare on 08-Jun
2023-06-08,649.35,Food,Expense for Food on 08-Jun
2023-06-08,392.15,Transport,Expense for Transport on 08-Jun
2023-06-09,560.89,Entertainment,Expense for Entertainment on 09-Jun
2023-06-09,47.27,Entertainment,Expense for Entertainment on 09-Jun
2023-06-09,696.87,Food,Expense for Food on 09-Jun
2023-06-10,904.16,Food,Expense for Food on 10-Jun
2023-06-10,940.9,Food,Expense for Food on 10-Jun
2023-06-10,1371.03,Entertainment,Expense for Entertainment on 10-Jun
2023-06-11,226.55,Utilities,Expense for Utilities on 11-Jun
2023-06-11,63.38,Utilities,Expense for Utilities on 11-Jun
2023-06-11,763.55,Education,Expense for Education on 11-Jun
2023-06-12,241.72,Education,Expense for Education on 12-Jun
2023-06-12,175.03,Transport,Expense for Transport on 12-Jun
2023-06-12,452.94,Food,Expense for Food on 12-Jun
2023-06-13,721.41,Entertainment,Expense for Entertainment on 13-Jun
2023-06-13,175.21,Food,Expense for Food on 13-Jun
2023-06-13,602.63,Entertainment,Expense for Entertainment on 13-Jun
2023-06-14,554.72,Healthcare,Expense for Healthcare on 14-Jun
2023-06-14,36.03,Education,Expense for Education on 14-Jun
2023-06-14,391.93,Utilities,Expense for Utilities on 14-Jun
2023-06-15,736.71,Education,Expense for Education on 15-Jun
2023-06-15,761.32,Rent,Expense for Rent on 15-Jun
2023-06-15,601.37,Rent,Expense for Rent on 15-Jun
2023-06-16,1224.72,Entertainment,Expense for Entertainment on 16-Jun
2023-06-16,1057.99,Entertainment,Expense for Entertainment on 16-Jun
2023-06-16,1215.03,Entertainment,Expense for Entertainment on 16-Jun
2023-06-17,460.94,Entertainment,Expense for Entertainment on 17-Jun
2023-06-17,753.57,Entertainment,Expense for Entertainment on 17-Jun
2023-06-17,578.53,Entertainment,Expense for Entertainment on 17-Jun
2023-06-18,720.46,Rent,Expense for Rent on 18-Jun
2023-06-18,340.9,Rent,Expense for Rent on 18-Jun
2023-06-18,1181.09,Healthcare,Expense for Healthcare on 18-Jun
2023-06-19,1072.71,Food,Expense for Food on 19-Jun
2023-06-19,491.25,Entertainment,Expense for Entertainment on 19-Jun
2023-06-19,587.96,Education,Expense for Education on 19-Jun
2023-06-20,431.57,Food,Expense for Food on 20-Jun
2023-06-20,440.6,Education,Expense for Education on 20-Jun
2023-06-20,547.6,Entertainment,Expense for Entertainment on 20-Jun
2023-06-21,994.45,Entertainment,Expense for Entertainment on 21-Jun
2023-06-21,398.56,Utilities,Expense for Utilities on 21-Jun
2023-06-21,511.62,Entertainment,Expense for Entertainment on 21-Jun
2023-06-22,580.47,Entertainment,Expense for Entertainment on 22-Jun
2023-06-22,623.03,Education,Expense for Education on 22-Jun
2023-06-22,173.97,Transport,Expense for Transport on 22-Jun
2023-06-23,818.04,Food,Expense for Food on 23-Jun
2023-06-23,1067.44,Food,Expense for Food on 23-Jun
2023-06-23,1107.39,Entertainment,Expense for Entertainment on 23-Jun
2023-06-24,561.74,Food,Expense for Food on 24-Jun
2023-06-24,990.56,Entertainment,Expense for Entertainment on 24-Jun
2023-06-24,578.66,Food,Expense for Food on 24-Jun
2023-06-25,699.21,Education,Expense for Education on 25-Jun
2023-06-25,457.5,Transport,Expense for Transport on 25-Jun
2023-06-25,418.55,Transport,Expense for Transport on 25-Jun
2023-06-26,551.9,Healthcare,Expense for Healthcare on 26-Jun
2023-06-26,497.93,Entertainment,Expense for Entertainment on 26-Jun
2023-06-26,646.26,Food,Expense for Food on 26-Jun
2023-06-27,245.37,Rent,Expense for Rent on 27-Jun
2023-06-27,478.69,Healthcare,Expense for Healthcare on 27-Jun
2023-06-27,328.98,Transport,Expense for Transport on 27-Jun
2023-06-28,677.79,Rent,Expense for Rent on 28-Jun
2023-06-28,577.76,Transport,Expense for Transport on 28-Jun
2023-06-28,459.65,Entertainment,Expense for Entertainment on 28-Jun
2023-06-29,708.05,Healthcare,Expense for Healthcare on 29-Jun
2023-06-29,405.78,Healthcare,Expense for Healthcare on 29-Jun
2023-06-29,126.51,Rent,Expense for Rent on 29-Jun
2023-06-30,636.24,Food,Expense for Food on 30-Jun
2023-06-30,421.76,Food,Expense for Food on 30-Jun
2023-06-30,706.85,Entertainment,Expense for Entertainment on 30-Jun
2023-07-01,16254.52,Utilities,Expense for Utilities on 01-Jul
2023-07-01,12473.01,Utilities,Expense for Utilities on 01-Jul
2023-07-01,18755.29,Utilities,Expense for Utilities on 01-Jul
2023-07-02,636.39,Entertainment,Expense for Entertainment on 02-Jul
2023-07-02,370.47,Education,Expense for Education on 02-Jul
2023-07-02,337.18,Rent,Expense for Rent on 02-Jul
2023-07-03,513.81,Utilities,Expense for Utilities on 03-Jul
2023-07-03,684.88,Utilities,Expense for Utilities on 03-Jul
2023-07-03,102.51,Education,Expense for Education on 03-Jul
2023-07-04,646.15,Utilities,Expense for Utilities on 04-Jul
2023-07-04,246.37,Utilities,Expense for Utilities on 04-Jul
2023-07-04,5.9,Healthcare,Expense for Healthcare on 04-Jul
2023-07-05,635.8,Rent,Expense for Rent on 05-Jul
2023-07-05,533.6,Transport,Expense for Transport on 05-Jul
2023-07-05,598.24,Transport,Expense for Transport on 05-Jul
2023-07-06,631.78,Food,Expense for Food on 06-Jul
2023-07-06,605.28,Rent,Expense for Rent on 06-Jul
2023-07-06,879.11,Education,Expense for Education on 06-Jul
2023-07-07,621.88,Entertainment,Expense for Entertainment on 07-Jul
2023-07-07,863.13,Entertainment,Expense for Entertainment on 07-Jul
2023-07-07,727.89,Food,Expense for Food on 07-Jul
2023-07-08,1148.23,Food,Expense for Food on 08-Jul
2023-07-08,1183.3,Entertainment,Expense for Entertainment on 08-Jul
2023-07-08,666.15,Food,Expense for Food on 08-Jul
2023-07-09,615.19,Transport,Expense for Transport on 09-Jul
2023-07-09,516.36,Healthcare,Expense for Healthcare on 09-Jul
2023-07-09,328.99,Food,Expense for Food on 09-Jul
2023-07-10,434.11,Food,Expense for Food on 10-Jul
2023-07-10,344.47,Rent,Expense for Rent on 10-Jul
2023-07-10,487.11,Rent,Expense for Rent on 10-Jul
2023-07-11,147.24,Transport,Expense for Transport on 11-Jul
2023-07-11,228.88,Rent,Expense for Rent on 11-Jul
2023-07-11,1150.84,Utilities,Expense for Utilities on 11-Jul
2023-07-12,548.64,Education,Expense for Education on 12-Jul
2023-07-12,329.26,Education,Expense for Education on 12-Jul
2023-07-12,647.31,Entertainment,Expense for Entertainment on 12-Jul
2023-07-13,635.83,Utilities,Expense for Utilities on 13-Jul
2023-07-13,1004.03,Transport,Expense for Transport on 13-Jul
2023-07-13,767.11,Utilities,Expense for Utilities on 13-Jul
2023-07-14,393.79,Food,Expense for Food on 14-Jul
2023-07-14,540.08,Entertainment,Expense for Entertainment on 14-Jul
2023-07-14,487.8,Food,Expense for Food on 14-Jul
2023-07-15,1061.93,Food,Expense for Food on 15-Jul
2023-07-15,1006.75,Food,Expense for Food on 15-Jul
2023-07-15,912.81,Entertainment,Expense for Entertainment on 15-Jul
2023-07-16,610.68,Rent,Expense for Rent on 16-Jul
2023-07-16,319.65,Education,Expense for Education on 16-Jul
2023-07-16,317.29,Rent,Expense for Rent on 16-Jul
2023-07-17,318.22,Education,Expense for Education on 17-Jul
2023-07-17,696.58,Entertainment,Expense for Entertainment on 17-Jul
2023-07-17,985.72,Education,Expense for Education on 17-Jul
2023-07-18,640.51,Rent,Expense for Rent on 18-Jul
2023-07-18,373.12,Utilities,Expense for Utilities on 18-Jul
2023-07-18,450.9,Food,Expense for Food on 18-Jul
2023-07-19,643.32,Rent,Expense for Rent on 19-Jul
2023-07-19,519.48,Transport,Expense for Transport on 19-Jul
2023-07-19,82.47,Transport,Expense for Transport on 19-Jul
2023-07-20,390.17,Transport,Expense for Transport on 20-Jul
2023-07-20,1253.15,Utilities,Expense for Utilities on 20-Jul
2023-07-20,655.35,Food,Expense for Food on 20-Jul
2023-07-21,562.99,Entertainment,Expense for Entertainment on 21-Jul
2023-07-21,846.61,Food,Expense for Food on 21-Jul
2023-07-21,964.3,Entertainment,Expense for Entertainment on 21-Jul
2023-07-22,647.76,Food,Expense for Food on 22-Jul
2023-07-22,800.12,Food,Expense for Food on 22-Jul
2023-07-22,544.52,Entertainment,Expense for Entertainment on 22-Jul
2023-07-23,779.3,Education,Expense for Education on 23-Jul
2023-07-23,449.56,Rent,Expense for Rent on 23-Jul
2023-07-23,762.03,Transport,Expense for Transport on 23-Jul
2023-07-24,700.79,Healthcare,Expense for Healthcare on 24-Jul
2023-07-24,549.22,Entertainment,Expense for Entertainment on 24-Jul
2023-07-24,224.69,Rent,Expense for Rent on 24-Jul
2023-07-25,326.21,Education,Expense for Education on 25-Jul
2023-07-25,201.95,Entertainment,Expense for Entertainment on 25-Jul
2023-07-25,188.26,Food,Expense for Food on 25-Jul
2023-07-26,150.48,Transport,Expense for Transport on 26-Jul
2023-07-26,462.54,Education,Expense for Education on 26-Jul
2023-07-26,509.99,Healthcare,Expense for Healthcare on 26-Jul
2023-07-27,817.84,Rent,Expense for Rent on 27-Jul
2023-07-27,604.15,Utilities,Expense for Utilities on 27-Jul
2023-07-27,695.48,Utilities,Expense for Utilities on 27-Jul
2023-07-28,406.35,Food,Expense for Food on 28-Jul
2023-07-28,711.42,Entertainment,Expense for Entertainment on 28-Jul
2023-07-28,630.03,Entertainment,Expense for Entertainment on 28-Jul
2023-07-29,154.21,Food,Expense for Food on 29-Jul
2023-07-29,692.28,Food,Expense for Food on 29-Jul
2023-07-29,961.51,Entertainment,Expense for Entertainment on 29-Jul
2023-07-30,656.67,Utilities,Expense for Utilities on 30-Jul
2023-07-30,684.68,Food,Expense for Food on 30-Jul
2023-07-30,647.21,Entertainment,Expense for Entertainment on 30-Jul
2023-07-31,692.2,Healthcare,Expense for Healthcare on 31-Jul
2023-07-31,794.27,Food,Expense for Food on 31-Jul
2023-07-31,141.55,Food,Expense for Food on 31-Jul
2023-08-01,10130.42,Rent,Expense for Rent on 01-Aug
2023-08-01,14409.3,Utilities,Expense for Utilities on 01-Aug
2023-08-01,15900.84,Utilities,Expense for Utilities on 01-Aug
2023-08-02,695.16,Transport,Expense for Transport on 02-Aug
2023-08-02,694.14,Healthcare,Expense for Healthcare on 02-Aug
2023-08-02,351.04,Rent,Expense for Rent on 02-Aug
2023-08-03,654.05,Rent,Expense for Rent on 03-Aug
2023-08-03,391.85,Education,Expense for Education on 03-Aug
2023-08-03,458.02,Entertainment,Expense for Entertainment on 03-Aug
2023-08-04,650.97,Entertainment,Expense for Entertainment on 04-Aug
2023-08-04,563.31,Entertainment,Expense for Entertainment on 04-Aug
2023-08-04,644.4,Food,Expense for Food on 04-Aug
2023-08-05,875.16,Food,Expense for Food on 05-Aug
2023-08-05,466.81,Food,Expense for Food on 05-Aug
2023-08-05,822.17,Food,Expense for Food on 05-Aug
2023-08-06,207.27,Education,Expense for Education on 06-Aug
2023-08-06,249.44,Utilities,Expense for Utilities on 06-Aug
2023-08-06,1069.57,Food,Expense for Food on 06-Aug
2023-08-07,836.19,Education,Expense for Education on 07-Aug
2023-08-07,210.84,Utilities,Expense for Utilities on 07-Aug
2023-08-07,339.1,Utilities,Expense for Utilities on 07-Aug
2023-08-08,541.69,Entertainment,Expense for Entertainment on 08-Aug
2023-08-08,630.59,Education,Expense for Education on 08-Aug
2023-08-08,524.17,Utilities,Expense for Utilities on 08-Aug
2023-08-09,362.97,Education,Expense for Education on 09-Aug
2023-08-09,721.75,Utilities,Expense for Utilities on 09-Aug
2023-08-09,133.5,Healthcare,Expense for Healthcare on 09-Aug
2023-08-10,326.71,Entertainment,Expense for Entertainment on 10-Aug
2023-08-10,391.71,Transport,Expense for Transport on 10-Aug
2023-08-10,132.21,Transport,Expense for Transport on 10-Aug
2023-08-11,1123.6,Entertainment,Expense for Entertainment on 11-Aug
2023-08-11,332.16,Food,Expense for Food on 11-Aug
2023-08-11,1206.96,Entertainment,Expense for Entertainment on 11-Aug
2023-08-12,982.86,Entertainment,Expense for Entertainment on 12-Aug
2023-08-12,547.13,Food,Expense for Food on 12-Aug
2023-08-12,1189.6,Entertainment,Expense for Entertainment on 12-Aug
2023-08-13,703.66,Food,Expense for Food on 13-Aug
2023-08-13,393.67,Food,Expense for Food on 13-Aug
2023-08-13,71.43,Entertainment,Expense for Entertainment on 13-Aug
2023-08-14,760.53,Education,Expense for Education on 14-Aug
2023-08-14,445.54,Utilities,Expense for Utilities on 14-Aug
2023-08-14,497.4,Rent,Expense for Rent on 14-Aug
2023-08-15,574.2,Healthcare,Expense for Healthcare on 15-Aug
2023-08-15,102.33,Healthcare,Expense for Healthcare on 15-Aug
2023-08-15,730.36,Transport,Expense for Transport on 15-Aug
2023-08-16,471.57,Rent,Expense for Rent on 16-Aug
2023-08-16,608.67,Transport,Expense for Transport on 16-Aug
2023-08-16,289.99,Entertainment,Expense for Entertainment on 16-Aug
2023-08-17,709.42,Utilities,Expense for Utilities on 17-Aug
2023-08-17,174.49,Transport,Expense for Transport on 17-Aug
2023-08-17,387.94,Utilities,Expense for Utilities on 17-Aug
2023-08-18,628.0,Entertainment,Expense for Entertainment on 18-Aug
2023-08-18,703.4,Food,Expense for Food on 18-Aug
2023-08-18,927.62,Food,Expense for Food on 18-Aug
2023-08-19,624.6,Entertainment,Expense for Entertainment on 19-Aug
2023-08-19,564.28,Entertainment,Expense for Entertainment on 19-Aug
2023-08-19,1362.22,Entertainment,Expense for Entertainment on 19-Aug
2023-08-20,623.57,Entertainment,Expense for Entertainment on 20-Aug
2023-08-20,682.07,Education,Expense for Education on 20-Aug
2023-08-20,283.17,Utilities,Expense for Utilities on 20-Aug
2023-08-21,755.96,Education,Expense for Education on 21-Aug
2023-08-21,761.05,Rent,Expense for Rent on 21-Aug
2023-08-21,466.51,Transport,Expense for Transport on 21-Aug
2023-08-22,663.34,Transport,Expense for Transport on 22-Aug
2023-08-22,368.5,Rent,Expense for Rent on 22-Aug
2023-08-22,348.46,Healthcare,Expense for Healthcare on 22-Aug
2023-08-23,70.78,Transport,Expense for Transport on 23-Aug
2023-08-23,440.03,Transport,Expense for Transport on 23-Aug
2023-08-23,545.3,Transport,Expense for Transport on 23-Aug
2023-08-24,412.38,Entertainment,Expense for Entertainment on 24-Aug
2023-08-24,478.85,Healthcare,Expense for Healthcare on 24-Aug
2023-08-24,478.77,Food,Expense for Food on 24-Aug
2023-08-25,1102.91,Food,Expense for Food on 25-Aug
2023-08-25,633.97,Entertainment,Expense for Entertainment on 25-Aug
2023-08-25,629.52,Entertainment,Expense for Entertainment on 25-Aug
2023-08-26,676.64,Entertainment,Expense for Entertainment on 26-Aug
2023-08-26,760.96,Entertainment,Expense for Entertainment on 26-Aug
2023-08-26,798.78,Food,Expense for Food on 26-Aug
2023-08-27,1011.88,Education,Expense for Education on 27-Aug
2023-08-27,396.73,Education,Expense for Education on 27-Aug
2023-08-27,77.86,Healthcare,Expense for Healthcare on 27-Aug
2023-08-28,757.2,Education,Expense for Education on 28-Aug
2023-08-28,1075.53,Food,Expense for Food on 28-Aug
2023-08-28,412.28,Food,Expense for Food on 28-Aug
2023-08-29,280.58,Entertainment,Expense for Entertainment on 29-Aug
2023-08-29,540.03,Education,Expense for Education on 29-Aug
2023-08-29,870.43,Utilities,Expense for Utilities on 29-Aug
2023-08-30,226.93,Transport,Expense for Transport on 30-Aug
2023-08-30,412.84,Education,Expense for Education on 30-Aug
2023-08-30,196.93,Entertainment,Expense for Entertainment on 30-Aug
2023-08-31,219.4,Rent,Expense for Rent on 31-Aug
2023-08-31,428.49,Education,Expense for Education on 31-Aug
2023-08-31,529.33,Rent,Expense for Rent on 31-Aug
2023-09-01,12806.79,Rent,Expense for Rent on 01-Sep
2023-09-01,12566.87,Utilities,Expense for Utilities on 01-Sep
2023-09-01,16227.88,Utilities,Expense for Utilities on 01-Sep
2023-09-02,1092.17,Entertainment,Expense for Entertainment on 02-Sep
2023-09-02,1028.59,Entertainment,Expense for Entertainment on 02-Sep
2023-09-02,567.49,Food,Expense for Food on 02-Sep
2023-09-03,499.23,Rent,Expense for Rent on 03-Sep
2023-09-03,125.17,Entertainment,Expense for Entertainment on 03-Sep
2023-09-03,661.88,Rent,Expense for Rent on 03-Sep
2023-09-04,550.87,Transport,Expense for Transport on 04-Sep
2023-09-04,294.93,Entertainment,Expense for Entertainment on 04-Sep
2023-09-04,624.89,Transport,Expense for Transport on 04-Sep
2023-09-05,348.38,Education,Expense for Education on 05-Sep
2023-09-05,457.77,Entertainment,Expense for Entertainment on 05-Sep
2023-09-05,801.39,Food,Expense for Food on 05-Sep
2023-09-06,195.7,Transport,Expense for Transport on 06-Sep
2023-09-06,644.64,Utilities,Expense for Utilities on 06-Sep
2023-09-06,486.26,Utilities,Expense for Utilities on 06-Sep
2023-09-07,135.09,Education,Expense for Education on 07-Sep
2023-09-07,871.85,Entertainment,Expense for Entertainment on 07-Sep
2023-09-07,296.41,Utilities,Expense for Utilities on 07-Sep
2023-09-08,426.82,Food,Expense for Food on 08-Sep
2023-09-08,499.47,Entertainment,Expense for Entertainment on 08-Sep
2023-09-08,870.18,Entertainment,Expense for Entertainment on 08-Sep
2023-09-09,588.24,Entertainment,Expense for Entertainment on 09-Sep
2023-09-09,795.61,Food,Expense for Food on 09-Sep
2023-09-09,1065.43,Food,Expense for Food on 09-Sep
2023-09-10,430.77,Education,Expense for Education on 10-Sep
2023-09-10,338.66,Transport,Expense for Transport on 10-Sep
2023-09-10,459.32,Healthcare,Expense for Healthcare on 10-Sep
2023-09-11,230.56,Healthcare,Expense for Healthcare on 11-Sep
2023-09-11,833.29,Transport,Expense for Transport on 11-Sep
2023-09-11,482.55,Utilities,Expense for Utilities on 11-Sep
2023-09-12,401.07,Rent,Expense for Rent on 12-Sep
2023-09-12,662.78,Rent,Expense for Rent on 12-Sep
2023-09-12,538.55,Food,Expense for Food on 12-Sep
2023-09-13,691.25,Transport,Expense for Transport on 13-Sep
2023-09-13,551.58,Food,Expense for Food on 13-Sep
2023-09-13,307.77,Healthcare,Expense for Healthcare on 13-Sep
2023-09-14,302.91,Utilities,Expense for Utilities on 14-Sep
2023-09-14,1018.83,Entertainment,Expense for Entertainment on 14-Sep
2023-09-14,616.26,Utilities,Expense for Utilities on 14-Sep
2023-09-15,737.56,Entertainment,Expense for Entertainment on 15-Sep
2023-09-15,993.31,Entertainment,Expense for Entertainment on 15-Sep
2023-09-15,764.53,Entertainment,Expense for Entertainment on 15-Sep
2023-09-16,507.63,Entertainment,Expense for Entertainment on 16-Sep
2023-09-16,784.33,Food,Expense for Food on 16-Sep
2023-09-16,950.5,Entertainment,Expense for Entertainment on 16-Sep
2023-09-17,661.08,Transport,Expense for Transport on 17-Sep
2023-09-17,412.73,Food,Expense for Food on 17-Sep
2023-09-17,742.12,Utilities,Expense for Utilities on 17-Sep
2023-09-18,672.47,Utilities,Expense for Utilities on 18-Sep
2023-09-18,359.52,Food,Expense for Food on 18-Sep
2023-09-18,575.89,Healthcare,Expense for Healthcare on 18-Sep
2023-09-19,402.48,Education,Expense for Education on 19-Sep
2023-09-19,628.64,Utilities,Expense for Utilities on 19-Sep
2023-09-19,1297.7,Food,Expense for Food on 19-Sep
2023-09-20,342.79,Entertainment,Expense for Entertainment on 20-Sep
2023-09-20,104.71,Rent,Expense for Rent on 20-Sep
2023-09-20,447.81,Entertainment,Expense for Entertainment on 20-Sep
2023-09-21,288.98,Utilities,Expense for Utilities on 21-Sep
2023-09-21,1104.01,Food,Expense for Food on 21-Sep
2023-09-21,649.99,Entertainment,Expense for Entertainment on 21-Sep
2023-09-22,1177.53,Entertainment,Expense for Entertainment on 22-Sep
2023-09-22,373.63,Food,Expense for Food on 22-Sep
2023-09-22,1023.79,Entertainment,Expense for Entertainment on 22-Sep
2023-09-23,767.42,Food,Expense for Food on 23-Sep
2023-09-23,985.39,Entertainment,Expense for Entertainment on 23-Sep
2023-09-23,687.38,Entertainment,Expense for Entertainment on 23-Sep
2023-09-24,453.1,Transport,Expense for Transport on 24-Sep
2023-09-24,664.1,Transport,Expense for Transport on 24-Sep
2023-09-24,590.14,Food,Expense for Food on 24-Sep
2023-09-25,395.94,Utilities,Expense for Utilities on 25-Sep
2023-09-25,586.23,Transport,Expense for Transport on 25-Sep
2023-09-25,734.89,Education,Expense for Education on 25-Sep
2023-09-26,441.32,Food,Expense for Food on 26-Sep
2023-09-26,205.48,Utilities,Expense for Utilities on 26-Sep
2023-09-26,658.76,Entertainment,Expense for Entertainment on 26-Sep
2023-09-27,883.87,Transport,Expense for Transport on 27-Sep
2023-09-27,560.08,Healthcare,Expense for Healthcare on 27-Sep
2023-09-27,517.5,Food,Expense for Food on 27-Sep
2023-09-28,298.79,Food,Expense for Food on 28-Sep
2023-09-28,1020.79,Rent,Expense for Rent on 28-Sep
2023-09-28,24.91,Utilities,Expense for Utilities on 28-Sep
2023-09-29,413.05,Food,Expense for Food on 29-Sep
2023-09-29,842.82,Entertainment,Expense for Entertainment on 29-Sep
2023-09-29,1412.6,Food,Expense for Food on 29-Sep
2023-09-30,852.4,Food,Expense for Food on 30-Sep
2023-09-30,923.52,Entertainment,Expense for Entertainment on 30-Sep
2023-09-30,609.31,Food,Expense for Food on 30-Sep
2023-10-01,14388.19,Rent,Expense for Rent on 01-Oct
2023-10-01,19737.26,Rent,Expense for Rent on 01-Oct
2023-10-01,14928.15,Utilities,Expense for Utilities on 01-Oct
2023-10-02,117.58,Rent,Expense for Rent on 02-Oct
2023-10-02,202.05,Utilities,Expense for Utilities on 02-Oct
2023-10-02,501.35,Education,Expense for Education on 02-Oct
2023-10-03,368.15,Transport,Expense for Transport on 03-Oct
2023-10-03,409.88,Utilities,Expense for Utilities on 03-Oct
2023-10-03,864.79,Rent,Expense for Rent on 03-Oct
2023-10-04,505.14,Entertainment,Expense for Entertainment on 04-Oct
2023-10-04,711.22,Healthcare,Expense for Healthcare on 04-Oct
2023-10-04,251.59,Transport,Expense for Transport on 04-Oct
2023-10-05,879.64,Education,Expense for Education on 05-Oct
2023-10-05,142.34,Rent,Expense for Rent on 05-Oct
2023-10-05,249.6,Utilities,Expense for Utilities on 05-Oct
2023-10-06,1130.61,Entertainment,Expense for Entertainment on 06-Oct
2023-10-06,994.78,Food,Expense for Food on 06-Oct
2023-10-06,671.08,Food,Expense for Food on 06-Oct
2023-10-07,586.67,Food,Expense for Food on 07-Oct
2023-10-07,719.01,Food,Expense for Food on 07-Oct
2023-10-07,1180.44,Food,Expense for Food on 07-Oct
2023-10-08,452.36,Utilities,Expense for Utilities on 08-Oct
2023-10-08,382.55,Food,Expense for Food on 08-Oct
2023-10-08,698.32,Utilities,Expense for Utilities on 08-Oct
2023-10-09,452.87,Transport,Expense for Transport on 09-Oct
2023-10-09,485.01,Rent,Expense for Rent on 09-Oct
2023-10-09,819.09,Food,Expense for Food on 09-Oct
2023-10-10,368.4,Entertainment,Expense for Entertainment on 10-Oct
2023-10-10,506.24,Education,Expense for Education on 10-Oct
2023-10-10,397.63,Entertainment,Expense for Entertainment on 10-Oct
2023-10-11,187.88,Transport,Expense for Transport on 11-Oct
2023-10-11,384.89,Entertainment,Expense for Entertainment on 11-Oct
2023-10-11,350.3,Rent,Expense for Rent on 11-Oct
2023-10-12,672.53,Rent,Expense for Rent on 12-Oct
2023-10-12,523.53,Transport,Expense for Transport on 12-Oct
2023-10-12,284.97,Transport,Expense for Transport on 12-Oct
2023-10-13,864.17,Entertainment,Expense for Entertainment on 13-Oct
2023-10-13,601.32,Food,Expense for Food on 13-Oct
2023-10-13,712.39,Food,Expense for Food on 13-Oct
2023-10-14,893.36,Entertainment,Expense for Entertainment on 14-Oct
2023-10-14,928.68,Entertainment,Expense for Entertainment on 14-Oct
2023-10-14,689.22,Entertainment,Expense for Entertainment on 14-Oct
2023-10-15,755.41,Food,Expense for Food on 15-Oct
2023-10-15,588.55,Healthcare,Expense for Healthcare on 15-Oct
2023-10-15,400.04,Rent,Expense for Rent on 15-Oct
2023-10-16,784.88,Healthcare,Expense for Healthcare on 16-Oct
2023-10-16,554.86,Education,Expense for Education on 16-Oct
2023-10-16,567.7,Rent,Expense for Rent on 16-Oct
2023-10-17,623.09,Transport,Expense for Transport on 17-Oct
2023-10-17,310.2,Entertainment,Expense for Entertainment on 17-Oct
2023-10-17,452.95,Entertainment,Expense for Entertainment on 17-Oct
2023-10-18,637.82,Food,Expense for Food on 18-Oct
2023-10-18,614.34,Rent,Expense for Rent on 18-Oct
2023-10-18,759.79,Utilities,Expense for Utilities on 18-Oct
2023-10-19,501.06,Rent,Expense for Rent on 19-Oct
2023-10-19,902.81,Education,Expense for Education on 19-Oct
2023-10-19,588.28,Entertainment,Expense for Entertainment on 19-Oct
2023-10-20,1094.74,Entertainment,Expense for Entertainment on 20-Oct
2023-10-20,483.33,Food,Expense for Food on 20-Oct
2023-10-20,1058.39,Entertainment,Expense for Entertainment on 20-Oct
2023-10-21,836.28,Food,Expense for Food on 21-Oct
2023-10-21,929.3,Food,Expense for Food on 21-Oct
2023-10-21,826.54,Food,Expense for Food on 21-Oct
2023-10-22,632.94,Food,Expense for Food on 22-Oct
2023-10-22,1006.77,Healthcare,Expense for Healthcare on 22-Oct
2023-10-22,39.46,Rent,Expense for Rent on 22-Oct
2023-10-23,391.11,Healthcare,Expense for Healthcare on 23-Oct
2023-10-23,450.64,Rent,Expense for Rent on 23-Oct
2023-10-23,387.48,Utilities,Expense for Utilities on 23-Oct
2023-10-24,386.95,Rent,Expense for Rent on 24-Oct
2023-10-24,667.04,Food,Expense for Food on 24-Oct
2023-10-24,602.99,Food,Expense for Food on 24-Oct
2023-10-25,16.73,Transport,Expense for Transport on 25-Oct
2023-10-25,684.39,Transport,Expense for Transport on 25-Oct
2023-10-25,443.36,Food,Expense for Food on 25-Oct
2023-10-26,255.91,Utilities,Expense for Utilities on 26-Oct
2023-10-26,445.59,Utilities,Expense for Utilities on 26-Oct
2023-10-26,543.24,Education,Expense for Education on 26-Oct
2023-10-27,896.59,Food,Expense for Food on 27-Oct
2023-10-27,866.9,Food,Expense for Food on 27-Oct
2023-10-27,384.97,Entertainment,Expense for Entertainment on 27-Oct
2023-10-28,1186.17,Food,Expense for Food on 28-Oct
2023-10-28,501.66,Food,Expense for Food on 28-Oct
2023-10-28,671.8,Food,Expense for Food on 28-Oct
2023-10-29,732.95,Entertainment,Expense for Entertainment on 29-Oct
2023-10-29,236.8,Rent,Expense for Rent on 29-Oct
2023-10-29,337.72,Food,Expense for Food on 29-Oct
2023-10-30,659.44,Rent,Expense for Rent on 30-Oct
